emp_no,last_name,first_name,birth_date,titles,from_date,to_date
255657,Cyre,Oldrich,1965-01-20,Engineer/Senior Engineer,1985-02-10,9999-01-01
240438,Cyre,Temple,1965-01-02,Senior Staff/Staff,1992-09-30,9999-01-01
246764,Czaja,Shuzo,1965-01-04,Staff,1997-11-29,9999-01-01
261990,Czaja,Volkmar,1965-01-16,Staff/Senior Staff,1992-04-01,9999-01-01
46834,Daescu,Tooru,1965-01-22,Senior Staff,1998-03-20,9999-01-01
408417,Daescu,Tsz,1965-01-19,Staff,1994-09-28,9999-01-01
494088,Dahlbom,Phule,1965-01-10,Engineer/Senior Engineer,1989-02-06,9999-01-01
26788,Dalphin,Zongyan,1965-01-25,Senior Engineer/Engineer,1988-04-23,9999-01-01
418860,Dalton,Ymte,1965-02-01,Staff/Senior Staff,1992-11-22,9999-01-01
446897,Dalton,Takahiro,1965-01-22,Technique Leader,1992-09-30,9999-01-01
213140,Danecki,Tru,1965-01-10,Staff,1997-03-31,9999-01-01
21188,Danecki,Piyush,1965-01-21,Engineer,2000-01-08,9999-01-01
466064,Danlos,Temple,1965-01-31,Senior Staff,1994-06-13,9999-01-01
90692,DasSarma,Rajmohan,1965-01-03,Staff/Senior Staff,1985-09-14,9999-01-01
201915,DeMori,Sudharsan,1965-01-02,Engineer/Senior Engineer,1992-03-30,9999-01-01
437276,DeMori,Dines,1965-01-17,Staff/Senior Staff,1987-12-07,9999-01-01
17206,DeMori,Berry,1965-01-02,Senior Engineer/Engineer,1992-12-27,9999-01-01
68416,Debuse,Munenori,1965-01-27,Senior Engineer,1990-11-08,9999-01-01
279280,Debuse,Niranjan,1965-01-09,Senior Engineer/Engineer,1992-09-21,9999-01-01
496978,Debuse,Danco,1965-01-30,Staff/Senior Staff,1993-09-10,9999-01-01
445941,Dechter,Masako,1965-01-11,Technique Leader,1985-09-25,9999-01-01
471532,Decleir,Feiyu,1965-01-17,Technique Leader,1998-09-13,9999-01-01
249239,Decleir,Hideyuki,1965-01-21,Senior Engineer,1994-05-04,9999-01-01
414714,Delgrande,Chinho,1965-01-06,Senior Staff,1996-11-07,9999-01-01
109211,Delgrande,Gor,1965-01-11,Senior Engineer/Engineer,2002-06-18,9999-01-01
243637,Delgrange,Marjo,1965-01-16,Senior Staff/Staff,1990-06-24,9999-01-01
499194,Delgrange,Padma,1965-01-29,Senior Staff,1999-08-27,9999-01-01
14104,Demian,Sudhanshu,1965-01-03,Staff/Senior Staff,1994-07-23,9999-01-01
20248,Demri,Vidar,1965-01-12,Staff,1999-12-31,9999-01-01
287323,Dengi,Steve,1965-02-01,Staff,1999-09-15,9999-01-01
217320,Denis,Abdelwaheb,1965-01-10,Engineer,1993-09-10,9999-01-01
90211,Denis,Bader,1965-01-15,Engineer,1997-10-06,9999-01-01
219417,Denna,Subhrajyoti,1965-01-29,Staff,1996-07-25,9999-01-01
200735,Denos,Dinah,1965-01-09,Senior Staff/Staff,1992-09-21,9999-01-01
410804,Denos,Ronnie,1965-01-17,Engineer/Senior Engineer,1992-06-08,9999-01-01
52386,Denti,Adas,1965-01-28,Senior Staff/Staff,1986-05-30,9999-01-01
243018,Deverell,Bowen,1965-01-02,Senior Staff,1998-12-27,9999-01-01
38168,Deverell,Fumiko,1965-01-14,Senior Staff/Staff,1987-08-15,9999-01-01
220625,Deville,Shigenori,1965-01-25,Technique Leader,1992-12-24,9999-01-01
203599,DiGiano,Ewing,1965-01-21,Technique Leader,2000-02-01,9999-01-01
68648,DiGiano,Jaques,1965-01-25,Technique Leader,1992-04-01,9999-01-01
442096,DiGiano,Martijn,1965-01-15,Senior Engineer,1990-06-15,9999-01-01
448769,Dichev,Mong,1965-01-18,Technique Leader,1997-10-11,9999-01-01
498337,Docker,Naraig,1965-01-30,Staff,1997-05-17,9999-01-01
56209,Douceur,Remzi,1965-01-19,Senior Engineer/Engineer,1992-12-01,9999-01-01
235017,Dratva,Irena,1965-01-17,Staff/Senior Staff,1991-09-07,9999-01-01
456982,Dratva,Shounak,1965-01-07,Senior Engineer/Engineer,1989-01-05,9999-01-01
424584,Dredge,Kagan,1965-02-01,Engineer/Senior Engineer,1994-02-26,9999-01-01
223595,Dredge,Chiranjit,1965-02-01,Technique Leader,1999-09-05,9999-01-01
432665,Driscoll,Flemming,1965-01-02,Engineer/Senior Engineer,1994-05-28,9999-01-01
296062,Driscoll,Shaz,1965-01-29,Staff,1998-10-03,9999-01-01
218831,DuBourdieux,Unal,1965-01-16,Engineer,1996-03-13,9999-01-01
251403,DuBourdieux,Utpal,1965-01-01,Technique Leader,1997-11-19,9999-01-01
279115,DuCasse,Maren,1965-01-05,Engineer,1997-11-29,9999-01-01
455814,DuCasse,Giao,1965-01-28,Engineer/Senior Engineer,1991-07-19,9999-01-01
402025,Duclos,Shigehito,1965-01-20,Senior Engineer/Engineer,1987-09-20,9999-01-01
413666,Duclos,Remco,1965-01-05,Staff/Senior Staff,1988-04-18,9999-01-01
31207,Dulin,Abdelwaheb,1965-01-30,Senior Engineer,1993-08-05,9999-01-01
239748,Dusink,Bilhanan,1965-01-23,Staff/Senior Staff,1988-06-04,9999-01-01
420557,Eastman,Mabhin,1965-01-06,Staff/Senior Staff,1989-08-02,9999-01-01
280070,Ebeling,Niteen,1965-01-24,Staff/Senior Staff,1988-03-29,9999-01-01
209101,Edelhoff,Xinyu,1965-01-05,Senior Engineer,1997-10-26,9999-01-01
42950,Eickenmeyer,Shaleah,1965-01-22,Senior Staff,1993-10-09,9999-01-01
64984,Eldridge,Eldridge,1965-01-06,Engineer/Senior Engineer,1994-08-04,9999-01-01
80731,Eldridge,Shaowen,1965-01-25,Staff/Senior Staff,1987-12-05,9999-01-01
217272,Eldridge,Yuchang,1965-01-21,Staff/Senior Staff,1986-08-01,9999-01-01
79171,Ellozy,Guiseppe,1965-01-19,Senior Engineer,1991-01-12,9999-01-01
83280,Ellozy,Francesca,1965-01-07,Senior Engineer,1999-08-08,9999-01-01
60000,Emmart,Heekeun,1965-01-16,Assistant Engineer/Engineer,1995-09-23,9999-01-01
415338,Emmart,Shigeo,1965-01-22,Assistant Engineer,1995-12-24,9999-01-01
429481,Emmerich,Subhada,1965-01-09,Engineer,1996-03-06,9999-01-01
217026,Engberts,Otmar,1965-01-11,Senior Staff/Staff,1993-08-16,9999-01-01
83289,Engelmann,Shigeichiro,1965-01-09,Senior Engineer/Engineer,1994-01-09,9999-01-01
44265,Eppinger,Maria,1965-01-24,Engineer,1997-01-30,9999-01-01
407837,Erez,Fei,1965-02-01,Senior Engineer/Engineer,1988-04-02,9999-01-01
420877,Erez,Khosrow,1965-01-29,Staff/Senior Staff,1990-02-11,9999-01-01
481790,Erie,Haldun,1965-01-22,Senior Engineer,1999-01-01,9999-01-01
75703,Erman,Kyoichi,1965-01-08,Senior Engineer/Engineer,1996-07-25,9999-01-01
454736,Ermel,Nechama,1965-01-24,Engineer,1995-06-05,9999-01-01
294144,Ermel,Takanari,1965-01-09,Senior Staff/Staff,1992-01-11,9999-01-01
413729,Ernst,Harjit,1965-01-02,Technique Leader,1992-04-26,9999-01-01
239803,Ernst,Oscal,1965-01-30,Staff/Senior Staff,1992-05-19,9999-01-01
222926,Erol,Limsoon,1965-01-10,Senior Engineer,1997-12-31,9999-01-01
478218,Erol,Djenana,1965-01-02,Engineer,1999-12-03,9999-01-01
89207,Erol,Along,1965-01-15,Senior Staff/Staff,1992-10-16,9999-01-01
226227,Erva,Herbert,1965-01-07,Senior Engineer/Engineer,1986-09-06,9999-01-01
452206,Esposito,Arra,1965-01-22,Staff,1994-11-03,9999-01-01
258643,Esposito,Przemyslawa,1965-01-11,Engineer/Senior Engineer,1992-02-27,9999-01-01
10122,Esposito,Ohad,1965-01-19,Technique Leader,1998-08-06,9999-01-01
109552,Etalle,Menkae,1965-01-31,Engineer/Assistant Engineer,1997-05-21,9999-01-01
42911,Eterovic,Brigham,1965-01-29,Senior Engineer/Engineer,1994-10-08,9999-01-01
474331,Eugenio,Sugwoo,1965-01-29,Senior Staff,1994-03-02,9999-01-01
84029,Eugenio,Babette,1965-01-27,Staff,1997-09-21,9999-01-01
206748,Fabrizio,Yucai,1965-01-07,Staff,1999-10-06,9999-01-01
109741,Fadgyas,Hatem,1965-01-11,Senior Engineer,1991-11-13,9999-01-01
23396,Fairtlough,Hilari,1965-01-02,Technique Leader,1986-12-15,9999-01-01
239426,Fairtlough,Vesna,1965-01-08,Engineer,2002-05-07,9999-01-01
248256,Falby,Sajjan,1965-01-05,Staff,1996-08-29,9999-01-01
207551,Falck,Baziley,1965-01-15,Assistant Engineer,1995-02-18,9999-01-01
401574,Falco,Yannik,1965-01-13,Technique Leader,1988-01-15,9999-01-01
421074,Falster,Zhaofang,1965-01-07,Staff/Senior Staff,1994-06-29,9999-01-01
277829,Fandrianto,Michaela,1965-01-22,Senior Engineer,1986-06-02,9999-01-01
405015,Fargier,Morris,1965-01-02,Staff/Senior Staff,1988-06-29,9999-01-01
221367,Farris,Saddek,1965-01-13,Senior Staff,1990-11-06,9999-01-01
92577,Farrow,Zhanqiu,1965-01-06,Assistant Engineer,1999-01-10,9999-01-01
259042,Farrow,Xiaoqiang,1965-01-12,Staff,1997-01-01,9999-01-01
33215,Fasbender,Steen,1965-01-29,Technique Leader,1993-02-14,9999-01-01
51036,Fasbender,Chriss,1965-01-29,Staff,1995-05-23,9999-01-01
475258,Feinberg,Fumiyo,1965-01-10,Senior Staff/Staff,2000-02-12,9999-01-01
40301,Felder,Spyrose,1965-01-20,Senior Engineer,1997-10-20,9999-01-01
287327,Felder,Youjian,1965-01-13,Staff/Senior Staff,1993-07-15,9999-01-01
73076,Feldhoffer,Froduald,1965-01-22,Senior Engineer,1993-03-16,9999-01-01
426818,Fendler,Gaurav,1965-01-21,Staff/Senior Staff,1992-02-15,9999-01-01
241872,Fetvedt,Bluma,1965-01-11,Staff/Senior Staff,2001-11-14,9999-01-01
294241,Fiebach,Marl,1965-01-12,Staff/Senior Staff,1994-07-26,9999-01-01
80432,Figueira,Stella,1965-01-17,Staff/Senior Staff,1990-03-14,9999-01-01
435181,Fiutem,Kazuhide,1965-01-16,Senior Staff/Staff,1992-05-10,9999-01-01
49017,Flanders,Filipp,1965-01-07,Senior Engineer/Engineer,1990-11-26,9999-01-01
276472,Flanders,Hideyuki,1965-01-27,Engineer/Senior Engineer,1988-11-10,9999-01-01
208330,Flanders,Shen,1965-01-11,Staff/Senior Staff,1989-07-03,9999-01-01
213016,Fontan,Yongmao,1965-01-22,Engineer/Senior Engineer,1993-07-26,9999-01-01
34452,Foong,Naftaly,1965-01-08,Senior Engineer/Engineer,1991-05-10,9999-01-01
236964,Foote,Adel,1965-01-17,Staff,2000-03-20,9999-01-01
458383,Foote,Mabhin,1965-01-06,Engineer,1999-04-23,9999-01-01
472950,Fordan,Weidon,1965-01-29,Senior Engineer,1986-03-27,9999-01-01
229981,Fordan,Jamaludin,1965-01-19,Engineer/Senior Engineer,1992-02-06,9999-01-01
99377,Francisci,Carrsten,1965-01-18,Senior Engineer,1991-06-16,9999-01-01
429520,Francisci,Yongqiao,1965-01-06,Engineer,1999-12-01,9999-01-01
238112,Frezza,Miomir,1965-01-12,Technique Leader,1991-05-25,9999-01-01
465711,Frijda,Lakshmi,1965-01-06,Engineer/Senior Engineer,1990-04-21,9999-01-01
78363,Fritzsche,Susumu,1965-01-03,Engineer,1998-06-23,9999-01-01
270084,Frolund,Ulises,1965-01-11,Staff/Senior Staff,1986-07-26,9999-01-01
450817,Frolund,DAIDA,1965-01-10,Senior Engineer/Engineer,1987-07-17,9999-01-01
297954,Fujisaki,Sailaja,1965-01-13,Assistant Engineer,1995-07-24,9999-01-01
200312,Fujisaki,Akemi,1965-01-27,Senior Engineer,2001-11-13,9999-01-01
84942,Fujisaki,Shin,1965-01-15,Technique Leader,1988-02-23,9999-01-01
284431,Fujisawa,Pintsang,1965-01-25,Staff/Senior Staff,1996-04-16,9999-01-01
295236,Fujisawa,Kauko,1965-01-24,Engineer/Senior Engineer,1987-09-13,9999-01-01
452365,Gadepally,Fei,1965-01-05,Assistant Engineer/Engineer,1988-11-13,9999-01-01
259237,Gammage,Palash,1965-01-27,Staff/Senior Staff,1987-10-23,9999-01-01
233114,Gargeya,Alselm,1965-01-20,Senior Engineer,1987-12-25,9999-01-01
457813,Gargeya,Foong,1965-01-28,Engineer/Senior Engineer,1992-01-24,9999-01-01
67934,Gargeya,Aiman,1965-01-07,Engineer/Senior Engineer,1985-03-07,9999-01-01
488788,Garigliano,Wuxu,1965-01-12,Staff/Senior Staff,1990-09-21,9999-01-01
17013,Garigliano,Morris,1965-01-15,Staff/Senior Staff,1995-05-24,9999-01-01
77030,Garnham,Faiza,1965-01-02,Technique Leader,1986-03-02,9999-01-01
218100,Garnham,Jiong,1965-01-24,Staff/Senior Staff,1990-01-02,9999-01-01
209443,Garnier,Krassimir,1965-01-19,Senior Staff,1998-01-26,9999-01-01
106695,Garrabrants,Lijie,1965-01-31,Senior Staff/Staff,1988-10-26,9999-01-01
96571,Garrabrants,Kokou,1965-01-13,Senior Engineer,1997-11-05,9999-01-01
249780,Gaughan,Nechama,1965-01-12,Assistant Engineer/Engineer/Senior Engineer,1993-07-09,9999-01-01
53924,Gaughan,Arnould,1965-01-27,Engineer/Senior Engineer,1991-01-23,9999-01-01
427823,Gecsei,Jaques,1965-01-18,Staff,1999-07-13,9999-01-01
296664,Geffroy,Dipayan,1965-01-31,Senior Engineer,1987-09-17,9999-01-01
461120,Gelosh,Shietung,1965-01-18,Engineer/Senior Engineer,2001-04-01,9999-01-01
201801,Genin,Waiman,1965-01-12,Senior Engineer/Engineer,1988-10-30,9999-01-01
225601,Genin,Masasuke,1965-01-13,Assistant Engineer/Engineer,1994-06-25,9999-01-01
36626,Genin,Fen,1965-01-02,Senior Staff,1986-05-09,9999-01-01
22926,Genther,Manibrata,1965-01-01,Engineer/Senior Engineer,1988-01-15,9999-01-01
454338,Georg,Mohammed,1965-01-24,Engineer,1998-08-03,9999-01-01
480035,Georg,Sukumar,1965-01-26,Staff/Senior Staff,1990-08-26,9999-01-01
462493,Gerlach,Paloma,1965-01-12,Engineer/Senior Engineer,1988-07-26,9999-01-01
288563,Gerlach,Cristinel,1965-01-02,Engineer/Senior Engineer,1996-01-09,9999-01-01
498456,Gerteisen,Geraldo,1965-01-17,Staff/Senior Staff,1987-06-05,9999-01-01
278953,Ghandeharizadeh,Jeanna,1965-01-26,Senior Engineer,1990-08-11,9999-01-01
81644,Ghandeharizadeh,Divine,1965-01-05,Staff,1997-11-28,9999-01-01
78871,Ghandeharizadeh,Conor,1965-01-15,Senior Engineer,1985-05-25,9999-01-01
40269,Ghazalie,Toshiki,1965-01-10,Senior Staff/Staff,1991-12-05,9999-01-01
465076,Ghelli,Tokuyasu,1965-01-19,Senior Engineer/Engineer,1985-05-05,9999-01-01
108091,Ghemri,Hisao,1965-01-09,Senior Staff/Staff,1985-11-14,9999-01-01
438038,Giaccio,Lena,1965-01-01,Senior Staff,2001-10-03,9999-01-01
29954,Giarratana,Pranay,1965-01-27,Senior Engineer,1992-09-29,9999-01-01
430891,Gien,Khalil,1965-01-06,Senior Engineer,1991-08-06,9999-01-01
460691,Gihr,Munehiko,1965-01-16,Senior Staff,1989-12-06,9999-01-01
287482,Gihr,Shigeaki,1965-01-01,Senior Engineer/Engineer,1994-03-18,9999-01-01
262928,Gill,Piyush,1965-01-01,Senior Engineer/Engineer,1995-02-20,9999-01-01
226216,Gini,Giordano,1965-01-28,Technique Leader,1993-08-14,9999-01-01
203495,Gips,Zongyan,1965-01-02,Technique Leader,1997-05-31,9999-01-01
442898,Gire,Aksel,1965-01-07,Engineer,1999-06-27,9999-01-01
465501,Gire,Mrinalini,1965-01-05,Staff/Senior Staff,1992-11-09,9999-01-01
24571,Gischer,Cordelia,1965-01-20,Senior Engineer/Engineer,1989-03-14,9999-01-01
31188,Gist,Leandro,1965-01-12,Technique Leader,1993-02-03,9999-01-01
465062,Gist,Stafford,1965-01-29,Senior Engineer/Engineer,1988-05-07,9999-01-01
28988,Giveon,Tua,1965-01-18,Technique Leader,1998-09-09,9999-01-01
429954,Gladwell,Renny,1965-01-26,Staff,1999-02-27,9999-01-01
36521,Gladwell,Serif,1965-01-21,Senior Staff/Staff,1987-03-06,9999-01-01
12155,Glinert,Keiichiro,1965-01-21,Engineer/Senior Engineer,1993-09-16,9999-01-01
459685,Goldhammer,Hirochika,1965-02-01,Engineer,1998-03-12,9999-01-01
291612,Gomatam,Siamak,1965-01-30,Engineer,1998-07-08,9999-01-01
259273,Gomatam,Xiahua,1965-01-22,Senior Engineer,1989-12-01,9999-01-01
418380,Gornas,Kazuhiko,1965-01-02,Senior Engineer,1993-05-20,9999-01-01
410881,Grabner,Koichi,1965-01-06,Senior Engineer,2000-04-05,9999-01-01
413831,Grabner,Mohamadou,1965-01-09,Staff/Senior Staff,1991-11-25,9999-01-01
402102,Granlund,Kersti,1965-01-21,Engineer,1995-03-19,9999-01-01
240285,Greenaway,Kolar,1965-01-23,Staff,1998-11-14,9999-01-01
436558,Greibach,Subir,1965-01-08,Senior Engineer,1992-05-24,9999-01-01
293329,Griswold,Fumiya,1965-01-15,Senior Engineer/Engineer,1986-06-12,9999-01-01
56829,Gruenwald,Nagui,1965-01-09,Engineer,1997-06-14,9999-01-01
266644,Gubsky,Anwar,1965-01-08,Staff/Senior Staff,1993-08-09,9999-01-01
472238,Gubsky,Jungsoon,1965-01-31,Senior Engineer,1990-10-09,9999-01-01
249866,Gubsky,Steen,1965-01-15,Staff/Senior Staff,1989-01-14,9999-01-01
90077,Guerreiro,Vivian,1965-01-24,Assistant Engineer/Engineer,1991-07-08,9999-01-01
95286,Guerreiro,Kristin,1965-01-18,Engineer/Senior Engineer,1989-08-23,9999-01-01
465085,Gunderson,Vidar,1965-01-18,Senior Staff,1996-03-18,9999-01-01
216375,Gustavson,Byong,1965-01-16,Senior Engineer,1985-03-12,9999-01-01
235096,Gyimothy,Sverrir,1965-01-21,Senior Staff/Staff,1995-07-30,9999-01-01
220699,Gyimothy,Nahid,1965-01-07,Staff,1995-08-18,9999-01-01
83941,Hagimont,Zsolt,1965-01-11,Staff/Senior Staff,1996-10-08,9999-01-01
403644,Hainaut,Krisda,1965-01-19,Senior Staff/Staff,1995-07-08,9999-01-01
253707,Hainaut,Insup,1965-01-05,Staff,1998-02-11,9999-01-01
47708,Haldar,Edwin,1965-01-05,Senior Staff,1995-07-12,9999-01-01
282343,Haldar,Xinglin,1965-01-13,Senior Staff/Staff,1988-07-20,9999-01-01
481213,Haldar,Shigehiro,1965-01-08,Senior Staff/Staff,1991-12-14,9999-01-01
400796,Halevi,Bodo,1965-01-10,Engineer,1996-05-30,9999-01-01
265794,Halloran,Miquel,1965-01-15,Staff/Senior Staff,1994-01-14,9999-01-01
103756,Halloran,Heping,1965-01-31,Assistant Engineer/Engineer,1992-04-08,9999-01-01
460131,Hambrick,Adly,1965-01-16,Staff,1997-07-25,9999-01-01
484498,Hammerschmidt,Herbert,1965-01-26,Senior Engineer/Engineer,1996-08-22,9999-01-01
284954,Hammerschmidt,Anneke,1965-01-16,Engineer,1996-01-30,9999-01-01
56428,Hanabata,Olivera,1965-01-27,Staff/Senior Staff,1986-11-10,9999-01-01
257469,Hanratty,Anyuan,1965-01-22,Staff/Senior Staff,1988-01-06,9999-01-01
436915,Haraldson,Feixiong,1965-01-13,Staff,1998-10-11,9999-01-01
50453,Harbusch,Aron,1965-01-12,Staff,1997-10-02,9999-01-01
83805,Harllee,Manohar,1965-01-23,Senior Engineer,1987-03-11,9999-01-01
440870,Hasham,Filipp,1965-01-01,Senior Staff/Staff,1996-10-14,9999-01-01
91229,Hebden,Yahiko,1965-01-01,Senior Engineer/Engineer,1996-10-03,9999-01-01
442653,Hebden,Mona,1965-01-04,Engineer,1995-10-20,9999-01-01
482905,Hebden,Aral,1965-01-16,Senior Staff,1991-09-10,9999-01-01
447966,Hebert,Kamakshi,1965-01-05,Senior Engineer/Engineer,1997-01-17,9999-01-01
88965,Hedayat,Mang,1965-01-20,Engineer,1995-05-22,9999-01-01
416420,Heemskerk,Adamantios,1965-01-22,Senior Staff,1986-08-08,9999-01-01
97661,Hegner,Avishai,1965-01-31,Senior Staff/Staff,1993-05-08,9999-01-01
488095,Hegner,Francoise,1965-01-24,Senior Staff,1997-12-23,9999-01-01
272599,Hegner,Holgard,1965-01-16,Senior Staff/Staff,1993-07-15,9999-01-01
95920,Hegner,Nobuyoshi,1965-01-19,Senior Staff/Staff,1994-09-07,9999-01-01
52040,Heijenga,Phule,1965-01-14,Senior Staff/Staff,1996-12-08,9999-01-01
441965,Heijenga,Claudi,1965-01-12,Staff/Senior Staff,1988-08-30,9999-01-01
275801,Heinisuo,Ayakannu,1965-01-22,Senior Staff,1986-06-28,9999-01-01
29782,Hellwagner,Jouko,1965-01-29,Senior Engineer,2000-10-23,9999-01-01
103342,Hellwagner,Beshir,1965-01-03,Engineer,1998-02-03,9999-01-01
427332,Hemaspaandra,Feiyu,1965-01-20,Staff,1995-06-04,9999-01-01
491162,Hempstead,Panayotis,1965-01-14,Senior Engineer,1994-08-29,9999-01-01
436797,Henders,Ohad,1965-01-24,Staff/Senior Staff,1990-11-03,9999-01-01
464284,Henders,Huiqun,1965-01-20,Senior Staff,1993-05-19,9999-01-01
212093,Henders,Leni,1965-01-11,Senior Staff/Staff,1993-11-19,9999-01-01
467591,Hennebert,Kiyotoshi,1965-01-17,Staff,2001-03-06,9999-01-01
229391,Henseler,Paloma,1965-01-15,Engineer/Senior Engineer,1991-06-11,9999-01-01
450184,Henseler,Selwyn,1965-01-11,Senior Engineer,1993-03-09,9999-01-01
280525,Herbst,Kish,1965-01-13,Staff,1996-08-18,9999-01-01
244820,Hertweck,Shigenori,1965-01-15,Senior Engineer/Engineer,1987-04-13,9999-01-01
235458,Heuser,Gio,1965-01-05,Staff/Senior Staff,1992-06-28,9999-01-01
447877,Heuser,Make,1965-01-13,Engineer/Senior Engineer,1988-07-02,9999-01-01
20100,Heuter,Utz,1965-01-18,Staff/Senior Staff,1986-06-15,9999-01-01
233818,Heydon,Kellie,1965-01-01,Engineer/Senior Engineer,1985-11-11,9999-01-01
296303,Heyers,Mariangiola,1965-01-28,Technique Leader,1992-08-04,9999-01-01
457146,Heyers,Jinpo,1965-01-20,Staff,1999-01-07,9999-01-01
288142,Heystek,Shay,1965-01-25,Senior Staff/Staff,1989-04-01,9999-01-01
59640,Hiltgen,Zita,1965-01-18,Staff,1999-01-26,9999-01-01
432257,Hiltgen,Kwangjo,1965-01-20,Engineer,1998-12-22,9999-01-01
10762,Himler,Lech,1965-01-19,Staff/Senior Staff,1992-01-21,9999-01-01
76189,Hinsberger,Kolar,1965-01-02,Engineer/Senior Engineer,1986-10-20,9999-01-01
429316,Hiraishi,Seshu,1965-01-08,Senior Staff/Staff,1994-08-10,9999-01-01
287583,Hockney,Jovan,1965-01-18,Senior Engineer/Engineer,1990-06-21,9999-01-01
79043,Hockney,Katsuo,1965-01-24,Technique Leader,1999-11-07,9999-01-01
273159,Hofmeyr,Divine,1965-01-26,Technique Leader,1989-04-14,9999-01-01
280420,Hofting,Jahangir,1965-01-31,Staff/Senior Staff,1986-09-28,9999-01-01
262208,Holburn,Mrinalini,1965-01-16,Senior Staff,1987-05-23,9999-01-01
212154,Holburn,Sailaja,1965-01-17,Senior Staff/Staff,1991-03-04,9999-01-01
101647,Homond,Mori,1965-01-22,Staff/Senior Staff,1994-05-10,9999-01-01
18583,Honglei,Stafford,1965-01-03,Staff,1998-08-16,9999-01-01
429703,Honglei,Ung,1965-01-06,Senior Staff/Staff,1986-09-02,9999-01-01
499260,Honglei,Danae,1965-01-11,Engineer,1998-09-14,9999-01-01
251166,Hooghiemstra,Hinrich,1965-01-22,Staff/Senior Staff,1985-10-05,9999-01-01
214995,Hoppenstand,Dinkar,1965-01-12,Engineer,1994-05-04,9999-01-01
468417,Huhdanpaa,Kamakshi,1965-01-25,Senior Engineer/Engineer,1993-08-26,9999-01-01
292210,Huhdanpaa,Masaru,1965-01-17,Senior Engineer/Engineer,1996-11-23,9999-01-01
261631,Huttel,Jianhua,1965-01-08,Engineer,1998-02-23,9999-01-01
204425,Huttel,Gretta,1965-01-03,Senior Engineer,1990-10-08,9999-01-01
98288,Huttel,Sumali,1965-01-12,Staff/Senior Staff,1989-09-12,9999-01-01
92920,Hutter,Huei,1965-01-20,Engineer/Senior Engineer,1993-01-28,9999-01-01
72640,Hutton,Honglan,1965-01-24,Engineer/Senior Engineer,1993-10-04,9999-01-01
469527,Ibel,Halsur,1965-01-24,Staff,1998-03-05,9999-01-01
472790,Ibel,Zhenbing,1965-01-23,Senior Engineer,1985-10-29,9999-01-01
432787,Ibel,Toshiko,1965-01-16,Senior Engineer,1996-11-23,9999-01-01
89922,Ibel,Alexius,1965-01-26,Engineer/Senior Engineer,1988-04-24,9999-01-01
10476,Iisaka,Kokou,1965-01-01,Senior Staff/Staff,1987-09-20,9999-01-01
242500,Iisaku,Bingning,1965-01-08,Staff/Senior Staff,1989-06-26,9999-01-01
494019,Iisaku,Morrie,1965-01-16,Staff/Senior Staff,1991-05-06,9999-01-01
251301,Impagliazzo,Pintsang,1965-01-30,Senior Staff,1989-05-06,9999-01-01
451275,Isard,Bedrich,1965-01-25,Senior Staff,1986-06-07,9999-01-01
272452,Isard,Mitsuyuki,1965-01-10,Engineer,2002-02-27,9999-01-01
409898,Ishibashi,Divier,1965-02-01,Senior Engineer/Engineer,1989-09-22,9999-01-01
416383,Itschner,Nectarios,1965-01-29,Engineer/Senior Engineer,1990-03-02,9999-01-01
424797,Itschner,Theron,1965-01-19,Senior Staff/Staff,1985-05-16,9999-01-01
299580,Itzfeldt,Luisa,1965-01-21,Engineer,1997-01-23,9999-01-01
299737,Itzfeldt,Patricio,1965-02-01,Senior Staff/Staff,1985-05-21,9999-01-01
63706,Itzigehl,Sedat,1965-01-26,Engineer,1997-07-31,9999-01-01
277777,Itzigehl,Herbert,1965-01-27,Senior Engineer,1990-07-04,9999-01-01
485579,Iwayama,Munehiro,1965-01-18,Engineer/Senior Engineer,1986-12-16,9999-01-01
251437,Iwayama,Shichao,1965-01-20,Engineer/Assistant Engineer,1989-10-17,9999-01-01
413832,Jahnichen,Marco,1965-01-24,Senior Staff,1995-03-28,9999-01-01
75354,Jakobus,Shuky,1965-01-11,Senior Engineer/Engineer,1986-06-16,9999-01-01
493031,Jakobus,Hironoby,1965-01-23,Senior Staff/Staff,1991-07-30,9999-01-01
256881,Jakobus,Ioana,1965-01-03,Engineer/Senior Engineer,1990-08-10,9999-01-01
489928,Janetzko,Satoru,1965-01-28,Assistant Engineer,1997-07-26,9999-01-01
97623,Janetzko,Haldon,1965-01-25,Staff/Senior Staff,1990-09-11,9999-01-01
402664,Janetzko,Subhada,1965-01-04,Senior Engineer,1987-01-25,9999-01-01
87714,Janetzko,Khun,1965-01-16,Assistant Engineer/Engineer,1989-09-13,9999-01-01
18810,Jarecki,Taiji,1965-01-09,Engineer/Senior Engineer,1991-06-27,9999-01-01
487505,Jayawardene,Uno,1965-01-20,Staff/Senior Staff,1987-11-02,9999-01-01
412404,Jeansoulin,Mitsuyuki,1965-01-15,Senior Engineer,1999-10-28,9999-01-01
47515,Jenevein,Naraig,1965-01-26,Senior Engineer,1987-01-18,9999-01-01
447931,Jeong,Martijn,1965-01-11,Staff/Senior Staff,1990-12-14,9999-01-01
425757,Jiang,Yongdong,1965-01-18,Senior Staff,1995-01-31,9999-01-01
203474,Jonsson,Hugh,1965-01-03,Senior Staff/Staff,1991-07-06,9999-01-01
469867,Jonsson,Hein,1965-01-23,Staff/Senior Staff,1985-02-12,9999-01-01
